Sentence,grade
"too bad cause I know it's family owned, I really wanted to like this place.",0
Overpriced for what you are getting.,0
I vomited in the bathroom mid lunch.,0
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0
Food was below average.,0
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0
"All in all, Ha Long Bay was a bit of a flop.",0
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0
"It lacked flavor, seemed undercooked, and dry.",0
It really is impressive that the place hasn't closed down.,0
I would avoid this place if you are staying in the Mirage.,0
The refried beans that came with my meal were dried out and crusty and the food was bland.,0
Spend your money and time some place else.,0
A lady at the table next to us found a live green caterpillar In her salad.,0
the presentation of the food was awful.,0
I can't tell you how disappointed I was.,0
I think food should have flavor and texture and both were lacking.,0
Appetite instantly gone.,0
Overall I was not impressed and would not go back.,0
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0
But the staff was so horrible to us.,0
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",2
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",2
"Not only was the food outstanding, but the little 'perks' were great.",2
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,2
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",2
Nevertheless the food itself is pretty good.,2
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",0
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",1
The design and atmosphere is just as good.,2
He has visited Thailand and is quite expert on the cuisine.,2
The pizza is the best if you like thin crusted pizza.,2
"All the money went into the interior decoration, none of it went to the chefs.",2
The seats are uncomfortable if you are sitting against the wall on wooden benches.,0
"I asked for seltzer with lime, no ice.",1
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",2
My suggestion is to eat family style because you'll want to try the other dishes.,1
"Best of all is the warm vibe, the owner is super friendly and service is fast.",2
Faan's got a great concept but a little rough on the delivery.,0
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",2
"Great food at REASONABLE prices, makes for an evening that can't be beat!",2
this little place has a cute interior decor and affordable city prices.,2
Two words: Free wine.,2
The price is reasonable although the service is poor.,2
"The quantity is also very good, you will come out satisfied.",2
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",1
The fried rice is amazing here.,2
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",2
it's a perfect place to have a amanzing indian food.,2
The place is so cool and the service is prompt and curtious.,2
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,2
I just wonder how you can have such a delicious meal for such little money.,2
The wine list is excellent.,2
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",2
They wouldnt even let me finish my glass of wine before offering another.,1
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",1
This is a consistently great place to dine for lunch or dinner.,1
"Nice atmosphere, the service was very pleasant and the desert was good.",2
After really enjoying ourselves at the bar we sat down at a table and had dinner.,2
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",2
Try the lasagnette appetizer.,2
I liked the beer selection!,2
"Great food, good size menu, great service and an unpretensious setting.",2
Go here for a romantic dinner but not for an all out wow dining experience.,2
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,1
Wine list selection is good and wine-by-the-glass was generously filled to the top.,2
"With the great variety on the menu , I eat here often and never get bored .",2
The menu is very limited - i think we counted 4 or 5 entrees.,0
The menu is limited but almost all of the dishes are excellent.,0
Not too crazy about their sake martini.,0
"Great bagels, spreads and a good place to hang out in.",2
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,1
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",2
We always have a delicious meal and always leave feeling satisfied.,2
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",1
First went here to enjoy their garden terrace.,2
The pizza was pretty good and huge.,2
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",1
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,2
They are often crowded on the weekends but they are efficient and accurate with their service.,2
All my co-workers were amazed at how small the dish was.,0
"The atmosphere is unheralded, the service impecible, and the food magnificant.",2
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",0
"The wait staff is friendly, and the food has gotten better and better!",2
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",2
Right off the L in Brooklyn this is a nice cozy place with good pizza.,2
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,2
I also ordered for delivery and the restaurant forgot half the order.,0
Our server checked on us maybe twice during the entire meal.,0
The strong scents coming from the left and right of me negatively affected my taste buds.,0
We had the lobster sandwich and it was FANTASTIC.,2
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",0
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",2
Deep Fried Skewers are good and still rare to find in NYC.,2
"I have tried to make reservations, but both times, the hostess didn't have my name.",1
I also recommend the rice dishes or the different varieties of congee (rice porridge).,2
Their tuna tartar appetizer is to die for.,2
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",2
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",2
I love Indian food and consider myself to be quite an expert on it.,2
Some baby pizzas get their wish.,1
Overall A oh ya even though there is waiting it is deff worth it,0
The lava cake dessert was incredible and I recommend it.,2
VT is what baby pizzas hope to be when they grow up.,1
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",0
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,2
The last time I went we were seated at a table in a corridor next to the kitchen.,0
good selection of wines ranging from affordable to high end.,2
"Nice restaurant overall, with classic upscale Italian decor.",2
Not impressed with the food.,0
The entire dining experience was wonderful!,2
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,2
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,2
"Order the panang duck, it's fantastic.",2
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",0
"Other than the crappy service from two individuals, it's great.",0
They have authentic Indian at amazin prices.,2
Ambiance- relaxed and stylish.,2
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",2
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",2
and yes Dal Bukhara is so dam good and so are all the kababs.,2
I look forward to eating here again,2
I've been coming here as a child and always come back for the taste.,2
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,2
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",2
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",1
The food always tastes fresh and served promptly.,2
The pizza here is delicious.,2
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",2
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",2
But who says Murray's is anything about service.,1
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",0
Hats off to the chef.,2
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",0
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",2
Its an excellent place to relax and the food is one of the best in the city of New York.,2
"service is friendly, and never had a problem walking in and getting a table.",2
The atmosphere was crowded but it was a great bistro-type vibe.,2
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",0
The food was bland oily.,0
"What is even better, is that the prices are very affordable as well, and the food is really good.",2
The fish is fresh but the variety of fish is nothing out of ordinary.,2
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",2
"And Kruno, the beverage manager is the best bartender I have yet to come across.",2
"Ambiance and music funky, which I enjoy.",2
"The food, drinks and service are clearly among the best in the city.",2
I went there in late afternoon for some bite size food and refleshment with my date.,1
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",2
"Last time I went here, the waitress didn't come back after taking our order.",0
Try the tandoori salmon!,2
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",2
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",0
I love the atmorphere @ peep!,2
The service was attentive and her suggestions of menu items was right on the mark.,2
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,2
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",2
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",2
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",2
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,1
What came to our table was burned beyond recognition and stringy.,1
I had the Pad Thai and the noodles were sticky.,0
"So I've never actually been to M proper, but I've had it delivered a few times.",1
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",2
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",2
The hostess is rude to the point of being offensive.,0
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",2
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",0
The food is great.,2
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,2
"Lunch came with pickels and slaw, no extra charge.",2
Decent wine at reasonable prices.,2
All conveniently delivered right to the door.,2
even the wine by the glass was good.,2
would have rather tried terrace in the sky or water club for that price,0
This dish is my favorite and I always get it when I go there and never get tired of it.,2
"I also ordered the Change Mojito, which was out of this world.",2
Okay service.,1
The only thing more wonderful than the food (which is exceptional) is the service.,2
"The food was just awful, ATROCIOUS actually.",0
The soup for the udon was soy sauce and water.,0
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",2
The waitress suggested glasses of wine that went very well with the food.,2
"They might be all business at the counter when you give your order, but their food says I love you.",2
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",2
Try their plain pizza with fresh garlic or eggplant.,2
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",0
Good luck getting a table.,0
The service is awful.,0
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",2
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",1
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,2
The pizza is good though.,2
bottles of wine are cheap and good.,2
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",2
They didn't give us the dinner special until we asked for it.,0
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,2
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",2
Very good service and very good prices.,2
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,1
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",2
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,2
Our food was great too!,2
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",0
"Get your food to go, find a bench, and kick back with a plate of dumplings.",1
"Please try the Filet Mignon, its just the most tender piece ever.",2
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",1
The sake menu should not be overlooked!,2
the drinks are amazing and half off till 8pm.,2
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,2
"The service, wine selection, ambiance are all outstanding and deserve recognition.",2
"We were seated promptly as we had reservations, however after that the service was slow.",2
"It's really also the service, is good and the waiters are friendly.",2
"The food was pretty good, but a little flavorless and the portions very small, including dessert.",0
"It is set far from the small street it's on, and there is no traffic noise.",2
Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,2
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",2
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,1
All the NYU students love this place so it makes for a fun young atmosphere.,2
The food here does a great service to the name (Cantonese that is...).,2
"But, nothing stands out about the cooking.",1
Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,2
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,2
I've been here 3 times for lunch and it is one of my favorites in the city.,1
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",0
"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",2
Too bad the food wasn't of the same heritage.,0
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",2
"The food was really good, I had the onion soup and it was one of the best ever.",2
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",1
"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",2
"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",0
"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",0
"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",1
"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",0
"The service is ok, some of the people didn't get what they asked for.",1
If you want good authentic Thai this place is not the place to go.,0
I recommend getting a reservation even though we saw people seated without one.,1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,1
"If you want some roast duck, pork or chicken on rice with ginger, try them out!",2
"You order from a menu, so you leave feeling like you missed the full experience.",0
Staff is very accomodating.,2
I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.,1
yourself a favor and have dinner here and see if you dont agree with me.,1
Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).,2
"The food was terrific and the service classy, attentive, without being overbearing.",2
This is an amazing place to try some roti rolls.,2
Fresh ingredients and everything is made to order.,2
"We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",2
Quick and friendly service.,2
"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system.",1
"Try the hot dogs too, they're snappy and delicious.",2
Delivery is fast too.,2
"The noise level was unbearable, conversation impossible.",0
Personal pans are the perfect size for those hungry nights.,2
Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,2
One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,2
The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,2
"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",2
Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,1
just got back from lunch at Tamarind and it was excellent.,2
"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",2
"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",0
Try the cheesecake!,2
As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,0
Great Indian food and the service is incredible.,2
"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",2
"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",0
We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,0
"Especially liked chicken tikka and the naan, and the dals.",2
The waiters were not attentive except that the bill turned up on the table before we were finished.,0
The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,2
The sangria was pretty tasty and good on a hot muggy day.,2
Don't eat here unless you're starving for thai food and you work next door.,0
"For the people who want great food plus great service, Roxy is a place to AVOID!",0
I had the best ravioli ever.,2
Ive been here a bunch of times now and the service is always outstanding.,2
The bill is approximately $25 for 2 at lunch without drinks.,1
"Quite frankly, this is some of the worst sushi I have ever tried.",0
"The food is great, service is ok.",2
"The overall price tag was very very expensive, something I did expect.",0
"Spice is great Thai food, love the inexpensive appetizers.",2
The service was attentive.,2
"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",2
Fish was overdone.,0
"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",2
We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.,2
also make sure you pay attention to the music being piped in - quite a weird selection.,1
The establishment scores big points in presentation and style.,2
Good food.,2
"The wait staff is very friendly, if not overly efficient.",2
The dim sum however was very good.,2
Service has always been friendly and efficient.,2
Went there and had a combination of different seafood dishes and appetizers.,1
Its a great place for a casual date or to entertain clients for lunch.,1
All we received was an apology as we left to see our show without dinner.,1
The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,1
Prices are very good.,2
"We could not catch our waiter's eye, and he ignored us.",0
Plain and simple it's bad thai food.,0
Usually 3 vs. 4 items per dish.,1
"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",2
"The Dim Sum was so-so, but not spectacular.",1
The food was so-so.,1
"The waitress, seems to be more concerned of looking good than actually waitressing.",0
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",2
Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,1
Food-awesome.,2
"good music, great food, speedy service affordable prices.",2
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,0
"May, the owner always has a smile on her and will warmly greet you.",2
The sides were ok and incredibly salty.,0
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",0
"The beverages were excellent, and the dessert was good.",2
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,0
"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",2
"Please if your thinking about it go, and stay the wait you won't be disappointed.",0
I must say the view of NYC is so beautiful!,2
"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.",2
"When going out for a nice dinner, I like a nice ambiance as well as very good food.",2
"Otherwise, this place has great service and prices and a nice friendly atmosphere.",2
Highly recommend this as great value for excellent sushi and service.,2
This place would be so much better served by being run by a group that actually understands customer service.,0
A++   The service was good to excellent along with the attitude.,2
The food is awesome - definitely try the striped bass.,2
"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.",1
black white shakes came out good also.,2
It's simply the best meal in NYC.,2
After passing by this restaurant for sometime I finally decided to go in and have dinner.,1
"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",0
I ordered the chu chu curry and my friend ordered the pad thai chicken.,1
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,1
"However, they've got the most amazing pastrami and the soups hit the spot.",2
Great bagels made the old-fashioned way.,2
"This is some really good, inexpensive sushi.",2
"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",2
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",0
For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,0
The pizza is delicious and the proprietor is one of the nicest in NYC.,2
"Also good for client lunch meetings, esp.",1
"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",2
The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,2
The setting is casual and romantic.,2
"Terrible, terrible management - deserves to be shut-down.",0
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",2
The desserts are more appealing then stuffy overpriced French restaurants.,2
"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",2
"I found the food to be outstanding, particulary the salmon dish I had.",2
Mizu is home to creative and unique rolls not to found anywhere else.,2
Baluchi's has solid food and a nice decor at reasonable prices.,2
"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.",2
I have been to spice three times- twice during lunch and once at dinner.,1
"Moules were excellent, lobster ravioli was VERY salty!",2
"A cheap eat for NYC, but not for dosa.",0
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,0
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",2
i don't usually order wine with indian so i can't comment on their wine list or their wines.,1
Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,2
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",0
"Really though, where's the seasoning?",0
"The food was just OK, at least for what food was available.",1
The waitress was very patient with us and the food is phenomenal!,2
"The ambience was nice, but service wasn't so great.",2
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",2
The people that work there are always so friendly you forget you are in New York sometimes.,2
"We didn't even see a menu, as our waiter described both the specials and the main dishes.",1
The location and ambience is Ok but the food is what makes up for it.,1
"otherwise, good stuff for late nite eats.",2
"The dinner was ok, nothing I would have again.",0
I love and I know gourmet food by excellence!,2
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",2
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",2
He offers subpar service and has no personality.,0
"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",2
Diner food at bistro prices is a bummer....,0
"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",2
The portions are large and the servers always surprise us with a different starter.,2
"delicious bagels, especially when right out of the oven.",2
All the food was hot tasty.,2
This is one great place to eat pizza more out but not a good place for take-out pizza.,2
Our server was very helpful and friendly.,2
Try green curry with vegetables.,2
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",0
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",1
Much more reasonably priced too!,2
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",0
Why make a reservation if you aren't going to keep it?,0
"The Pad Thai is excellent here, as well.",2
I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,0
"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",2
"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",1
We had the pot-stickers which were great and a tempura dish that was great.,2
I think the stuff was better than Disney.,2
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",0
"Orsay, is without a doubt one of the best values for authentic French food in NYC.",2
"Well, their deliveries take for ever and the food is usually cold.",0
The staff is no nonsense.,2
And really large portions.,2
This is a great Thai restaurant with a very friendly staff.,2
I ordered the smoked salmon and roe appetizer and it was off flavor.,0
"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",1
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",2
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",1
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",2
"In fact, two people could really share one plate.",2
The food is great and authentic.,2
Good for casual dinner with jeans and sneakers.,2
"Anyway, the food is good, the price is right and they have a decent wine list.",2
Prices are higher to dine in and their chicken tikka marsala is quite good.,0
This place has many different styles of pizza and they are all amazing.,2
The photos of the restaurant in its web site are way better than the real look.,0
The food was lousy - too sweet or too salty and the portions tiny.,0
But the coconut rice was good.,2
It took them 25 minutes to bring our appetizer.,1
The food was great.,2
Pair you food with the excellent beers on tap or their well priced wine list.,1
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,0
All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,2
Metrazur has a beautiful spot overlooking the main terminal.,2
Friendly staff that actually lets you enjoy your meal and the company you're with.,2
The restaurant is rather small but we were lucky to get a table quickly.,2
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",2
"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",0
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,2
"But, they were too big for the bun.",1
"The food is fresh, delicious, and reasonably priced.",2
Raga stands out with an interesting fusion of French and Indian cooking.,2
"A few tips: skip the turnip cake, roast pork buns and egg custards.",0
The bagels are fabulous.,2
"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",1
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,2
"The food was very good, a great deal, and the place its self was great.",2
The food options rule.,2
A great choice at any cost and a great deal.,2
"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",1
"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).",1
"Their calzones are horrific, bad, vomit-inducing, YUCK.",0
It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,1
The place itself is beautiful the bar scene seems to be happening.,2
"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",2
"Good spreads, great beverage selections and bagels really tasty.",2
"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",0
"Also, top the meal with a delicious and perfect slice of tiramisu.",2
Check out the secret back room.,2
"It's also attached to Angel's Share, which is a cool, more romantic bar...",2
"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",2
Stick to the gulab jamun.,2
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",2
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,1
With the theater 2 blocks away we had a delicious meal in a beautiful room.,2
"We've only eaten in the restaurant once, but we have ordered many times for dinner.",1
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,2
The food is great and reasonably priced.,2
I would definitely recommend SEA if you like thai cuisine!,2
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",2
"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",2
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",2
"It is the type of place to run into old friends and have a late, raucus dinner.",2
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",2
Prices are in line.,1
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",2
The food is prepared quickly and efficiently.,2
"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",2
The food looked very appetizing and delicious since it came on a variety of fancy plates.,2
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,2
"The food is terrible and overall, I would have to say avoid at all costs.",0
